timestamp,volunteer,city,methane_level,type_of_infrastructure,coordinates,photo
6/27/2024 13:54:00,MM,Portland,0,Gas Cap,"(43.6553457, -70.2710327)",https://drive.google.com/open?id=12trJkbRV87OTYWr5_Q_JWocq9jMIFvRR
6/27/2024 13:57:53,MM,Portland,0,Utility Meter,"(43.6552984, -70.2711947)",https://drive.google.com/open?id=1Vl1KT0abA4Cceptjzjwx8MzmhGMsXCe8
6/27/2024 14:01:37,Mm,Portland,0,Gas Cap,"(43.6551953, -70.2727886)",https://drive.google.com/open?id=10uZE1I1RnAXk_K5EsuTxidmD5AtUQ6tF
6/27/2024 14:05:02,Mm,Portland,0,Gas Cap,"(43.6557056, -70.2719924)",https://drive.google.com/open?id=1q00OY1ShmB_nCHMGIFBX988JCZUcdMbD
6/27/2024 14:08:43,Mm,Portland,0.2,Sewer Grate,"(43.6557337, -70.2718071)",https://drive.google.com/open?id=13fat7AxK0o0y8jh8TSroEb0DNSGa3t1Z
6/27/2024 14:13:46,MM,Portland,0.1,Gas Cap,"(43.6563261, -70.2697231)",https://drive.google.com/open?id=1NSFS8DQEu4LkoXoRHnG-qcyBEAIYj6O_
6/27/2024 14:18:13,MM,Portland,0.2,Gas Cap,"(43.6566696, -70.2674211)",https://drive.google.com/open?id=1WYoH9aWUI2LRoyPCdiw38k-BRcAOZut_
6/27/2024 14:20:02,MM,Portland,0.1,Gas Cap,"(43.6567528, -70.2669752)",https://drive.google.com/open?id=1no45P5RQnirpQJ0nxnhZGWQVGO9m0Nll
6/27/2024 14:24:29,Mm,Portland,0,Gas Cap,"(43.6561869, -70.2667030)",https://drive.google.com/open?id=1KDNyEAlPwdbgreeDYHSwom1GFb05usrB
6/27/2024 14:28:04,MM,Portland,0,Gas Cap,"(43.6557379, -70.2686221)",https://drive.google.com/open?id=1DCkIFNNNRYQ8-_lyRqrBA9ZNFequR938
6/27/2024 14:31:05,Mm,Portland,0,Gas Cap,"(43.6555271, -70.2698864)",https://drive.google.com/open?id=1hfJbjU9XnFhpYQCUzizUKZWZe6V2icDW
6/27/2024 15:26:55,Mm,Portland,0,Gas Cap,"(43.6474256, -70.2628936)",https://drive.google.com/open?id=11pXbQHym8VQtH9X1uWfMnPRSaK-CqnuR
6/27/2024 15:29:09,Mm,Portland,0.1,Gas Cap,"(43.6471412, -70.2635500)",https://drive.google.com/open?id=1i-3IwEWIBgU5ZkN_VuuWXW94U7SkEddB
6/27/2024 15:31:29,Mm,Portland,0.1,Gas Cap,"(43.6467206, -70.2641036)",https://drive.google.com/open?id=1lCenOs2aqPPxwnjfLaHmSDvF7XnVpFMt
6/27/2024 15:33:38,Mm,Portland,0.1,Gas Cap,"(43.6463154, -70.2649122)",https://drive.google.com/open?id=1IJUiKZLD9aoZsbuwnM__dY8Ztf8N4u_5
6/27/2024 15:35:00,Mm,Portland,0.1,Gas Cap,"(43.6462785, -70.2649853)",https://drive.google.com/open?id=1CDgjt-L-w4wyr474BZJW6BHlCdHJ_3mk
6/27/2024 15:38:11,Mm,Portland,0.2,Gas Cap,"(43.6464782, -70.2659717)",https://drive.google.com/open?id=15X0IEEP5HYDLhS_WFuNAZtqe68x-PmMt
6/27/2024 15:39:55,Mm,Portland,0,Gas Cap,"(43.6467065, -70.2656036)",https://drive.google.com/open?id=1GMaMLBv14QLystlKVQmd5KbDCuVyL8mG
6/27/2024 15:42:05,Mm,Portland,0.2,Gas Cap,"(43.6471063, -70.2653769)",https://drive.google.com/open?id=1sOZg4Is7CHYhM43A69E13ajoWJGL6XQH
6/27/2024 15:45:12,Mm,Portland,0,Gas Cap,0,https://drive.google.com/open?id=1w2WX5lM_cPUQKPaNQ6CXwwXHgGdYhUbw
6/27/2024 15:47:28,Mm,Portland,0.1,Sewer Grate,"(43.6479418, -70.2639433)",https://drive.google.com/open?id=1vlUUC3JLKtCbBOQs834kudxdnXoWX3e7
6/27/2024 15:48:59,Mm,Portland,0.1,Gas Cap,"(43.6478555, -70.2636674)",https://drive.google.com/open?id=1TQEXkd6zYrUGgtteVXZ3_C7FuzJH-SyV
6/27/2024 15:52:14,Mm,Portland,0,Gas Cap,"(43.6478793, -70.2629842)",https://drive.google.com/open?id=1CoF1uRKZsDEv-_Az38DfSduBPwkK2Z3l
7/2/2024 20:01:12,Mc,Portland,0,Gas Cap,"(43.6677547, -70.2470699)",https://drive.google.com/open?id=1ghYpuXN3SuAd8n5VGgMRYJA7NfT2IkuI
7/2/2024 20:04:22,Mc,Portland,0.3,Sewer Grate,"(43.6685342, -70.2469331)",https://drive.google.com/open?id=1CS3w_M05Oj57ADm8WrrRucKgH8XbJ477
7/2/2024 20:07:24,Mc,Portland,0.4,Sewer Grate,"(43.6691429, -70.2476616)",https://drive.google.com/open?id=1RUQnGqZT_JUX9JyTy-eiL8UbG5L0QgNK
